category,subcategory,name,price,skins,colors,description,features,image link,link
makeup,face,Skin Weightless Powder Foundation,$52.00 ,"Anyone with normal to oily skin types who wants a powder foundation with adjustable, natural-looking coverage.",Porcelain; Warm Ivory; Cool Ivory; Warm Sand; Warm Natural; Honey; Warm Honey; Golden; Warm Almond; Warm Walnut; Walnut; Chestnut; Espresso; Natural; Sand; Beige; Warm Beige,"Inspired by the look and feel of healthy skin, this powder foundation features a soft, cushiony texture for a smooth, comfortable feel and an oil-free formula that provides a shine-free, natural-looking finish.","Blends evenly and seamlessly onto skin.Helps conceal imperfections, fine lines, and pores.Keeps skin looking fresh and shine-free.Includes applicator for a smooth, even finish.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_ET5K12_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/88403/makeup/face/skin-weightless-powder-foundation/fh21#/shade/Warm_Natural
makeup,face,Skin Long-Wear Fluid Powder Foundation SPF 20,$40.00 ,NA,Porcelain (N-012); Warm Porcelain (W-016); Warm Ivory (W-026); Ivory (C-024); Sand (N-032); Cool Beige (C-046); Natural Tan (W-054); Natural (N-052); Cool Natural (C-056); Honey (W-064); Neutral Honey (N-060); Cool Honey (C-066); Golden (W-074); Neutral Golden (N-070); Cool Golden (C-076); Warm Almond (W-086); Neutral Almond (N-080); Almond (C-084); Neutral Walnut (N-090); Walnut (W-098); Chestnut (W-108); Cool Chestnut (C-106); Espresso (N-112); Warm Sand (W-036); Beige (N-042),"Our hybrid liquid-to-powder foundation self-sets to a comfortable, soft-matte finish. This long-wear formula helps control oil and stays color-true all day while keeping skin protected from UV rays and other environmental stressors.","Combines the smooth, even coverage of a liquid with the staying power and oil control of a powder.Helps protect skin against UV rays, blue light, and other environmental damage.Controls excess oil that can clog pores and lead to breakouts and is non-acnegenic.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_ENHM04_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/72515/makeup/face/skin-long-wear-fluid-powder-foundation-spf-20/ss20#/shade/Natural_%28N-
makeup,face,Sheer Finish Pressed Powder,$45.00 ,Great for all skin types—especially for women who prefer a lighter powder for touch-ups (or those with oily skin).,Soft Porcelain; Pale Yellow; Soft Sand; Sunny Beige; Warm Natural; Soft Honey; Golden Orange; Basic Brown; Golden Brown; Warm Chestnut,"Our lightweight, breathable pressed powder sets and perfects foundation while evening out skin tone for a smooth, refined look. And the oil-absorbing powder provides all-day shine control for a natural matte finish.",Evens out skin with undertone-correct pigments.Sets any look instantly for all-day wear.Absorbs excess oil making it our best pressed powder for oily skin.Blurs imperfections with spherical powders.,https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_ENPT01_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/81820/makeup/face/sheer-finish-pressed-powder#/shade/Pale_Yellow
makeup,face,Sheer Finish Loose Powder,$45.00 ,"Ideal for women with oily skin, or women who prefer a lighter powder.",Pale Yellow; Soft Sand; Warm Chestnut,"A loose setting powder that finishes and perfects foundation for a smooth, flawless look. With an oil-absorbing and 100% oil-free formula, this sheer powder is ideal for maintaining a shine-free finish.",Creates a natural-looking finish.Instantly sets makeup.Absorbs oil to keep skin looking flawless.,https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_ENPW01_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/81822/makeup/face/sheer-finish-loose-powder#/shade/Pale_Yellow
makeup,face,Corrector,$32.00 ,NA,Light Bisque; Dark Bisque; Deep Bisque; Very Deep Bisque; Very Deep Peach; Porcelain Bisque; Light Peach; Peach; Bisque; Dark Peach,"Our secret to the universe: this full-coverage color corrector neutralizes discoloration and brightens undereyes. Blends seamlessly so it’s perfect to use under concealer for a natural, skin-true effect.",Instantly neutralizes discoloration and evens skin tone.Brightens undereyes and covers even the most stubborn dark circles.Layers seamlessly under concealer for more natural-looking makeup.Delivers immediate and all-day moisture to delicate undereye area.Waterproof and sweat- and humidity-resistant.,https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_E6XW04_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/15905/makeup/face/corrector/ss11#/shade/Bisque
makeup,face,Creamy Concealer Kit,$40.00 ,Anyone who wants to conceal under eye circles to instantly look fresher and more well-rested.,Cool Sand; Natural; Warm Natural; Honey; Warm Honey; Chestnut; Ivory; Warm Ivory; Sand; Beige; Warm Beige; Natural Tan; Golden,"A bestselling duo that includes yellow-based creamy concealer to instantly camouflage undereye darkness and pressed powder to set the concealer for fresh-looking, long-lasting wear.","Delivers a soft-focus effect thanks to skin-smoothing emollients and silica.Applies easy for flawless coverage.Includes pressed powder to help concealer stay in place without settling into dry, fine lines.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_E6XT08_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/15950/makeup/face/creamy-concealer-kit/ss11#/shade/Natural
makeup,face,Instant Full Cover Concealer,$32.00 ,Anyone who wants a full-coverage under eye concealer with a weightless feel and natural skin finish.,Cool Sand; Warm Beige; Warm Natural; Honey; Warm Honey; Golden; Almond; Chestnut; Porcelain; Warm Ivory; Beige; Natural,"This long-lasting concealer delivers concentrated, highly pigmented coverage that visibly brightens stubborn dark circles and imperfections in an instant.","Covers in one swipe.Feels weightless and instantly brightens dark circles and imperfections.Balances skin’s natural moisture levels for a supple, more comfortable feel.Provides all-day coverage that won’t crease or settle.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_EH9A07_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/49695/makeup/face/instant-full-cover-concealer/fh17#/shade/Warm_Beige
makeup,face,Intensive Skin Serum Concealer,$22.00 ,NA,Chestnut; Walnut; Espresso,"With weightless coverage, this silky, hybrid formula brightens and evens out skin tone while minimizing the look of dark circles and other imperfections for a fresher, brighter, and more rejuvenated look—instantly.","Helps visibly counteract the look of dark circles and imperfections.Reenergizes the look of skin.Boosts skin’s moisture levels for a plumper, smoother, more refreshed look.Floats over skin weightlessly and is designed to layer seamlessly over corrector.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_EN6F14_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/36818/makeup/face/intensive-skin-serum-concealer/fh15#/shade/Chestnut
makeup,face,Primer Plus Mattifier,$40.00 ,NA,,"A lightweight mattifying face primer that keeps foundation looking better, longer while controlling oil, immediately reducing the look of pores, and helping balance skin’s moisture level.","Powder helps absorb oil and instantly reduces the appearance of pores.Cool, breathable finish helps refresh skin.Hyaluronic Acid helps keep moisture level balanced.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_EHLL01_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/58537/makeup/face/primer-plus-mattifier/fh18
makeup,face,Primer Plus Protection SPF 50,$40.00 ,NA,,"A lightweight, fast-absorbing face primer that provides invisible broad-spectrum UVA/UVB protection.",Broad-spectrum UVA and UVB protection helps prevent sun damage and premature signs of aging.Fast-absorbing formula applies evenly and invisibly.,https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_EKLT01_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/58333/makeup/face/primer-plus-protection-spf-50/fh18
makeup,face,Mini Skin Long-Wear Weightless Foundation SPF15,$25.00 ,Ideal for normal to oily skin.,Porcelain (N-012 / 0); Ivory (C-024 / 0.75); Cool Ivory (C-026 / 1.25); Warm Ivory  (W-026 / 1); Sand  (N-032 / 2); Cool Sand (C-036 / 2.25); Warm Sand (W-036 / 2.5); Beige (N-042 / 3); Warm Beige (W-046 / 3.5); Natural Tan (N-054 / 4.25); Warm Natural (W-056 / 4.5); Honey (W-064 / 5); Warm Honey (W-066 / 5.5); Golden (W-074 / 6); Warm Almond (W-086 / 6.5); Almond (C-084 / 7); Neutral Walnut (N-090); Neutral Chestnut (N-100); Espresso (N-112 / 10),"A must-have—now made mini. Perfect for trying out or taking on the go. With 16-hour wear and medium coverage, this lightweight formula is designed to look as good as it feels—delivering a multidimensional matte finish that’s comfortable, breathable, and weightless. Created through a high-speed cold fusion process, this ultra-silky emulsion features a perfectly balanced blend of skin-loving ingredients, oil-controlling actives, and skin-true pigments. Incredibly smooth and blendable, it glides on with a second-skin feel.Available in a range of shades that are expertly calibrated to skin’s undertones to even out the complexion and correct discoloration in one simple step.LONG-WEAR, LIFE-PROOF: Sweat resistant, transfer resistant, and non-acnegenic, this mask-friendly formula delivers flexible 16-hour coverage won’t crease or streak.MULTIDIMENSIONAL MATTE FINISH: Treated skin-true pigments suspended in an emollient gel base float on skin, reflecting light to enhance skin’s natural contours and dimension. Instantly conceals redness, discoloration, and pores with buildable coverage.COMFORTABLE SECOND-SKIN FEEL: Infused with humectants and marine sugarcane algae extract, this moisturizing formula visibly minimizes pores and strengthens skin’s barrier. Naturally derived mineral powders help keep excess oil and shine in check, while moisture-binding glycerin and shea butter deliver refreshing hydration. Research Results:In a 4-week consumer study with 101 participants:- 96% said it immediately left their skin looking shine-free- 93% felt it immediately minimized the look of pores- 92% said their skin looked more even toned throughout the day- 91% said their skin looked fresh throughout the day- 84% felt it left their skin feeling hydrated- 81% said the foundation stood up to all their activitiesParaben-free; phthalate-free; sulfate-free; sulfite-free; gluten-free; free of animal derived ingredients, dermatologist tested, non-acnegenicTwo of our shades have changed:If you purchased Cool Honey prior to March 2019, you should now select Neutral Honey.If you purchased Cool Golden prior to March 2019, you should now select Neutral Golden.",NA,https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_ERE011_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/86416/makeup/face/mini-skin-long-wear-weightless-foundation-spf15/ss21#/shade/Porcelain_%28N-012_%2F
makeup,face,Full Coverage Face Brush,$52.00 ,"For women who want a flawless, full-coverage look.",,"This small, tapered version of our bestselling Full Coverage Face Brush is designed for applying, blending, and buffing corrector and concealer onto undereyes and anywhere you need precise coverage. When using with foundation, it provides more targeted coverage by reaching smaller areas, like around the nose and corners of the mouth.","Tapered brush head lets you apply to the hard-to-reach spots.Short, tightly packed, yet ultra-soft bristles buff and blend gently on skin.Small, precise brush head blends corrector and concealer for seamless, second-skin coverage.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_E96N01_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/24768/makeup/face/full-coverage-face-brush/ss13
makeup,face,Powder Brush,$70.00 ,For anyone who wants to blend powder and mineral foundations seamlessly.,,"This luxurious brush is designed to effortlessly apply powder and powder foundation. The gently tapered head and soft bristles are designed to set makeup for an even and polished, yet natural look.",Applies powder formulas seamlessly.Dusts just the right amount of powder onto skin.Ideal to use with our Sheer Finish Loose Powder and Skin Weightless Powder Foundation.,https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_E55501_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/7781/makeup/face/powder-brush
makeup,face,Bronzer Brush,$62.00 ,NA,,"Our must-have Bronzer Brush features luxuriously soft bristles and a rounded brush head to provide smooth, even bronzer application for a naturally sun-warmed look.",Delivers a seamless finish and even color payoff.Designed to maximize the true-tan look of our Bronzing Powder and Illuminating Bronzing Powder.,https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_E55901_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/7783/makeup/face/bronzer-brush
makeup,face,Precise Buffing Brush,$52.00 ,NA,,"Angular, densely packed bristles conform to facial contours to deliver a natural-looking, second-skin finish for foundation or concealer.",Designed to apply foundation and concealer smoothly and evenly.Reaches smaller areas with angular shape and compact bristles.Helps to deliver allover seamless coverage.,https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_EMCY01_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/80511/makeup/face/precise-buffing-brush
makeup,lips,Luxe Shine Intense Lipstick,$38.00 ,NA,Claret; Bold Honey; Bare Truth; Paris Pink; Trailblazer; Power Lily; Passion Flower; Showstopper; Wild Poppy; Desert Sun; Supernova; Red Stiletto; Claret; Night Spell,"A luxurious lipstick that leaves lips with amped-up shine, vivid color, and a sculpted, voluptuous look. This emollient-infused lipstick delivers immediate and long-term moisture for luxurious suppleness.",Hydrates lips instantly with the help of Hyaluronic Acid and provides and long-term moisture with the help of Salicornia Herbacea Extract.Swipes on a brilliant finish with shine-amplifying Dimensional Shine Magnifier Complex.Glides luxuriously onto lips.,https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_ETFK04_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/2339/69380/makeup/lips/luxe-shine-intense-lipstick/fh19#/shade/Claret
makeup,lips,Luxe Defining Lipstick,$38.00 ,NA,Romantic; Rococoa; First Edition; Violet Vision; Waterlily; Avant Gardenia; Bold Baroque; New Mod; Terracotta; Redefined; Red Illusion; Orchid Noir,"A fine-tipped lipstick packed with pure power pigment. Designed with the glide of a lipstick but the precision of a pen, its lip-sculpting tip defines and intensifies with all-day, feather-resistant color. The statement-making, creamy matte stays comfortable with a nourishing formula that delivers 12-hour moisture. A built-in sharpener keeps the tip precise. Define. Redesign. Create a luxe, new look. Free-of: Paraben-free; phthalate-free; sulfate-free; sulfite-free",NA,https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_ENJ107_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/2339/79631/makeup/lips/luxe-defining-lipstick/fh21#/shade/Romantic
makeup,lips,Crushed Lip Color,$29.00 ,NA,Bare; Blush; Sazan Nude; Blondie Pink; Buff; Cocoa; Italian Rose; Babe; Angel; Bitten; Punch; Watermelon; Cabana; Lilac; Sunset; Regal; Cranberry; Ruby; Plum; Telluride; Brownie; Blue Raspberry; Rich Cocoa; Blackberry; Dark Chocolate ,"The look of a satin-matte lipstick meets the feel of a lip balm for our most wearable lip yet. Loaded with crushed pigments and lip-loving ingredients, it's the ultimate swipe-and-go balm-y lipstick for crush-worthy, feel-good color that lasts all day.","Glides on comfortably.Imparts a blotted-down, matte finish that can be layered for more intense color payoff.Lasts and resists feathering for 8 hours.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_EH2102_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/2339/49493/makeup/lips/crushed-lip-color/fh17#/shade/Bare
