name,price,colors,description,features,image link,link
"Precisely, My Brow Pencil",$24.00,1 - Cool light blonde;2 - Warm golden blonde;2.5 - Neutral blonde;2.75 - Warm auburn;3 - Warm light brown;3.5 - Neutral medium brown;3.75 - Warm medium brown;4 - Warm deep brown;4.5 - Neutral deep brown;5 - Warm black-brown;6 - Cool soft black;Cool grey,"Oh my WOW…precise & defined eyebrows! This ultra-fine eyebrow pencil draws incredibly natural-looking, hair-like strokes that last 12 budge-proof hours.* A few strokes of the rich yet blendable color will transform brows from shapeless & undefined to filled & defined eyebrows. Comes in full size & mini Twist-up, non-sharpen tip Built-in spoolie-brush Waterproof** eyebrow pencil *Instrumental test on 23 panelists **Instrumental test on 22 panelists","-	Natural-looking, hair-like strokes
-	Twist-up, non-sharpen tip
-	Lasts 12 budge-proof hours*
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-pencil/precisely-my-brow-eyebrow-pencil/precisely-my-brow-pencil-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/precisely-my-brow-eyebrow-pencil?product=PRECI-FULL
Double the Precision,$24.00,1 - Cool light blonde;2 - Warm golden blonde;2.75 - Warm auburn,"This beauty deal will have you seeing double! Includes a FULL-SIZE and FREE MINI of Benefit’s bestselling Precisely, My Brow Pencil for natural-looking brows instantly. The ultra-fine tips draws on hair-like strokes and the rich, blendable color is waterproof* and lasts 12 budge-proof hours**.*Instrumental test on 22 women**Instrumental test on 23 women Available in 12 shades: 1, 2, 2.5, 2.75, 3, 3.5, 3.75, 4, 4.5, 5, 6 and cool grey Set Includes: Precisely, My Brow Pencil ultra-fine brow defining pencil full-size | 0.08 g Net wt. 0.002 oz. Precisely, My Brow Pencil ultra-fine brow defining pencil mini | 0.04 g Net wt. 0.001 oz.","-	FULL-SIZE and FREE MINI of Precisely, My Brow Pencil
-	Rich, blendable color
-	Waterproof* and lasts 12 budge-proof hours**
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/double-the-precision/doubletheprecision_component-kit.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/double-the-precision
Cheektopia Set,$32.00,N;A,"TIPS & TRICKS Swirl power!Sweep Hoola all over face for a matte, natural-looking “tan”. Swirl Dallas & Georgia on apples of cheeks for a peach-bronze blush, or sweep on Dandelion & Sugarbomb for a pink brightening boost. BEAUTY TIP Mix & match any of these Benefit blushes to create your own custom flush!","-	4 bestselling blushes, including 2 NEW shades
-	1 iconic matte bronzer
-	Travel size minis
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/cheektopia/cheektopia_compenent3.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/cheektopia-set
Hoola Matte Bronzer,$30.00,Hoola Lite;Hoola;Hoola Toasted,"All 4 shades of Benefit’s award-winning bronzer feature the same soft, blendable formula and matte finish that made the original Hoola a cult-fave. The entire Hoola bronzer collection ranges from light to deep so you can sweep on a natural-looking bronze. Comes complete with a built-in mirror and powder brush for a sunless & seamless application. Hoola Lite: light powder bronzer for face Hoola: Original matte powder bronzer for face NEW! Hoola Caramel: medium–deep powder bronzer for face NEW! Hoola Toasted: deep powder bronzer for face","-	Hoola Lite: fair bronzer
-	Hoola: original bronzer + comes in mini & value size
-	Hoola Caramel: medium-deep bronzer
-	Hoola Toasted: deep bronzer
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/bronzer/hoola-matte-bronzer/hoola-bronzer-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/hoola-matte-bronzer?product=HOOLAIB74-FULL
Mascara Mini Fest,$25.00,N;A,"Lash of the party!Volumize, super-curl and lengthen lashes to the EXTREME with this mini mascara trio! They’re Real! Magnet gives lashes extreme length & powerful lift, while our bestselling BADgal BANG! brings bigger, badder volume and our fan-fave Roller Lash separates and super-curls.Set includes: They’re Real! Magnet powerful lifting & lengthening mascara in supercharged black | mini BADgal BANG! BIGGER, BADDER volumizing mascara in intense pitch black | mini Roller Lash super-curling & lifting mascara in black | mini","-	3 mini mascaras at a BIG deal!
-	Lift, lengthen, volumize and super-curl lashes
-	Perfect for mixing, matching & trying new lash looks!
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/mascara-mini-fest/mascara-mini-fest-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/mascara-mini-fest
Be Mine Beauty,$36.00,N;A,"Pucker up & bronze on!  Sweep Hoola all over face for a matte, natural-looking bronze. Glide Benetint onto lips, layering to build intensity. Then, dot and blend quickly onto cheeks for a rosy flush.  BEAUTY TIP:       
Lock in your look and blur pores with The POREfessional Super Setter setting spray (sold separately) to make sure those pretty cheeks stay all day!","-	Get 2 FULL-SIZE Benefit beauty bestsellers for lips & cheeks!
-	Iconic rose-tinted Benetint lip & cheek stain for longwearing, kiss-proof color
-	Award-winning Hoola for a beautifully matte bronze
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/be-mine-beauty/beminebeauty-component2.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/be-mine-beauty
Cookie Powder Highlighter,$30.00,N;A,"A gorgeous glow is just a sweep away! Stroke our silky-fine powder highlighter along cheekbones for a delicious soft-gold shimmer. Includes a built-in mirror and powder brush for easy, seamless application. Golden pearl super-silky highlighter Includes custom rounded blush brush and mirror","-	Silky-fine powder highlighter
-	Soft-gold shimmer
","https://www.benefitcosmetics.com/globalassets/pdps/cheeks/highlighter/cookie-powder-highlighter/cookie-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/cookie-powder-highlighter
Fouroscope: Fire Queen,$36.00,N;A,"Play with fire-y looks!  Sweep Hoola down sides of nose, along hairline & beneath cheekbones for a natural ""tan"", or contour your features for a more scultped look! Swirl Starlette or Soulstice blush on apples of cheeks or combine them for a custom flush! Dust Blaze highlighter on the top of cheekbones & down bridge of nose for a peachy pink glow!","-	Deep berry bronze cheek palette
-	2 FULL-SIZE & 2 MINI bronze, blush & highlight powders
-	NEW & EXCLUSIVE! Starlette candy pink blush
-	NEW & EXCLUSIVE! Soulstice berry blush
-	NEW & EXCLUSIVE! Blaze peach-pink highlighter
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/fouroscope/fire-queen/fouroscope-fire-queen-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/fouroscope-fire-queen
Fouroscope: Air Goddess,$36.00,N;A,"Swirl & sweep for sweet cheeks!  Delicately sweep Dandelion all over face for a soft, bright boost Swirl Soulstice or Georgia blush on apples of cheeks or combine them for a custom flush! Dust Blaze highlighter on top of cheekbones & down bridge of nose for a peachy pink glow!","-	Soft peachy glow cheek palette
-	2 FULL-SIZE & 2 MINI blush & highlight powders
-	NEW & EXCLUSIVE! Soulstice berry blush
-	NEW & EXCLUSIVE! Blaze peach-pink highlighter
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/fouroscope/air-goddess/fouroscope-air-goddess-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/fouroscope-air-goddess
Fouroscope: Earth Angel,$36.00,N;A,"Mix & match to your mood  Sweep Hoola down sides of nose, along hairline & across cheekbones for a natural ""tan"", or contour your features for a more sculpted look! Swirl Honey Moon or Georgia blush on apples of cheeks or combine them for a custom flush! Dust Cookie highlighter on top of cheekbones & down bridge of nose for a warm glow!","-	Warm rosy nude cheek palette
-	2 FULL-SIZE & 2 MINI bronze, blush & highlight powders
-	NEW & EXCLUSIVE! Honey Moon sunset pink blush
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/fouroscope/earth-angel/fouroscope-earth-angel-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/fouroscope-earth-angel
The POREfessional: Super Setter,$32.00,N;A,"This multitasking, microfine mist locks on makeup for 16 hours*, instantly blurs pores and leaves skin feeling smooth, refreshed & hydrated. The water-based formula includes pore-blurring powders that softly scatter light** and visibly reduce shine for a natural-looking, soft-focus finish. The mess-free applicator mists on a smooth, even, featherlight cloud...no drops, spots or stickiness!  Alcohol-free Waterproof & smudge-proof*** Fade-proof Instant mattifying effect 93% said it perfects the look of makeup**** 95% said skin feels hydrated**** *Instrumental test on 20 women **Ingredient properties ***Instrumental test on 22 women ****Self-evaluation by 110 women after 1 week","-	Locks on makeup for 16 hours*
-	Instantly blurs pores
-	Feels weightless & absorbs instantly
","https://www.benefitcosmetics.com/globalassets/pdps/face/primer/the-porefessional-super-setter/the-porefessional-super-setter-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-porefessional-super-setter2?product=PORESFM248-FULL
The POREfessional Super Setter Steal,$42.00,N;A,"This value set offers 2 FULL-SIZES of The POREfessional: Super Setter at a super STEAL. The micro-fine, multitasking mist instantly blurs the look of pores and locks makeup in place for 16 hours*, leaving skin feeling smooth, refreshed & hydrated.   The water-based formula includes pore-blurring powders that softly scatter light** and visibly reduce shine for a soft-focus, natural matte finish. The mess-free applicator mists on a smooth, even, featherlight cloud that absorbs instantly...no drops, spots or stickiness!   *Instrumental test on 20 women  Alcohol-free  Waterproof & smudge-proof***   Fade-proof  Instant mattifying effect  93% said it perfects the look of makeup****  95% said skin feels hydrated****  **Ingredient properties  ***Instrumental test on 22 women  ****Self-evaluation by 110 women after 1 week    Set includes: The POREfessional smoothing face primer to minimize the look of pores | full-size The POREfessional: Super Setter long-lasting makeup setting spray | mini","-	Alcohol-free
-	Waterproof & smudge-proof***
-	Fade-proof
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/the-porefessional-super-setter-steal/the-porefessional-super-setter-steal.component-kit.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-porefessional-super-setter-steal
Gimme Brow+ Volumizing Eyebrow Gel,$24.00,1 - Cool light blonde;2 - Warm golden blonde;3 - Neutral light brown;3.5 - Warm auburn brown;3.75 - Warm medium brown;4 - Warm deep brown;4.5 - Neutral deep brown;5 - Cool black-brown;6 - Warm black-brown;Cool grey,"Gimme Brow+ tinted eyebrow gel contains tiny microfibers that adhere to skin & hairs, creating natural-looking fullness. The custom, tiny, tapered brush provides easy & mess-proof application. Poof...like magic, fuller-looking brows will appear! 94% said brows looked visibly thicker* volumizes, tames & tints brows natural-looking & buildable water-resistant & long-wearing same cult-fave Gimme Brow…updated ingredients *self-evaluation by 66 women after 1 week","-	Volumizes, tames, & tints brows
-	Natural-looking & buildable
-	Water-resistant & long-wearing
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-gel/gimme-brow-volumizing-eyebrow-gel/gimme-brow-plus-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/gimme-brow-volumizing-eyebrow-gel?product=GIMMEBROW-FULL
Gimme Brow+ Volumizing Eyebrow Gel Jumbo Size,$38.00,2 - Warm golden blonde;3 - Neutral light brown;5 - Cool black-brown,"Gimme Brow+ tinted eyebrow gel contains tiny microfibers that adhere to skin & hairs, creating natural-looking fullness. The custom, tiny, tapered brush provides easy & mess-proof application. Poof...like magic, fuller-looking brows will appear! 94% said brows looked visibly thicker* volumizes, tames & tints brows natural-looking & buildable water-resistant & long-wearing same cult-fave Gimme Brow…updated ingredients *self-evaluation by 66 women after 1 week","-	Volumizes, tames, & tints brows
-	Natural-looking & buildable
-	Water-resistant & long-wearing
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-gel/gimme-brow-volumizing-eyebrow-gel/gimme-brow-plus-jumbo-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/gimme-brow-volumizing-eyebrow-gel?product=GIMMEBROW-JUMBO
Roller Lash Curling Mascara,$27.00,N;A,"It’s a roller for lashes! The eye-opening Hook ‘n’ Roll™ brush grabs, separates, lifts and curls…while the instant curve-setting formula holds for 12 hours. Contains provitamin B5 and serin, ingredients known for their lash-conditioning benefits. Available in two stunning shades, original ink black or brown.  Comes in full size & mini Satin finish Water-resistant & easy to remove 87% said it gives long-lasting curl* * Consumer panel survey on 31 women after 4 weeks","-	Hook ‘n' Roll™ brush
-	Grabs, separates, lifts, curls
-	Curve-setting formula holds for 12 hours
","https://www.benefitcosmetics.com/globalassets/pdps/eyes/mascara/roller-lash-curling-mascara/roller-lash-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/roller-lash-curling-mascara?product=ROLLEEM01-FULL
Curls Trip Mascara Set,$27.00,N;A,"Packin’ for a CURLS trip? Super-curl & lift your lashes with a FULL-SIZE and FREE mini of Benefit’s fan-fave Roller Lash super-curling mascara. The one-of-a-kind Hook ‘n’ Roll™ brush grabs, separates, lifts and curls while the instant curve-setting formula holds for 12 hours.Set includes: Roller Lash super-curling & lifting mascara in black | full-size Roller Lash super-curling & lifting mascara in black | mini","-	Get a FULL-SIZE and FREE mini of Roller Lash super-curling mascara
-	12-hour curve-setting formula
-	Contains ProVitamin B5 known for lash-conditioning benefits
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/curls-trip/kit_mascara_styled.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/curls-trip-mascara-set
Primer & Super Setter Deal,$32.00,N;A,"Prime & Super Set Pat on The POREfessional to prime skin. Set makeup with The POREfessional: Super Setter. Shake well, hold 8” from face & mist evenly. Warning: Keep out of eyes. Beauty Tip For makeup-free days, mist on to blur pores & leave skin feeling refreshed","-	Prime skin & set makeup with this multitasking beauty duo
-	Minimize the look of pores & fine lines
-	Lock on makeup for 16 hours*
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/primer--super-setter-deal/et_primersupersetterdeal_component-kit.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/primer--super-setter-deal
The POREfessional Face Primer,$32.00,N;A,"Smoooth moves!It’s Benefit’s iconic, #1 face primer...The POREfessional! This Benefit bestseller is known & loved for its smoothing superpowers. Instantly minimize the look of pores & fine lines and blur imperfections for silky-soft, smoother-than-smooth skin. Plus, help makeup apply evenly & stay put. Silky-smooth  Lightweight  Translucent  Non-comedogenic  Contains Vitamin E derivative 91% said it minimizes pore appearance*   97% said skin looks smooth* 93% said it helps makeup stay put* *self-evaluation by 100 participants over 1 week","-	Minimize the look of pores & fine lines
-	Help makeup apply evenly & stay put
-	Get silky-soft, smoother-than-smooth skin
","https://www.benefitcosmetics.com/globalassets/pdps/face/primer/the-porefessional-face-primer/the-porefessional-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-porefessional-face-primer?product=THEPOIB184-FULL
More for PORES,$32.00,N;A,"TIPS & TRICKS Feelin’ prime! Apply the POREfessional like a pro:Smooth The POREfessional all over face with fingertips. Use alone, under makeup as a primer or over makeup to touch up.BEAUTY TIP: Lock on makeup with The POREfessional: Super Setter (sold separately) for a flawless finish that lasts. Warning: Keep out of eyes. Close eyes before misting.","-	Get a FULL-SIZE + FREE mini of Benefit’s bestselling The POREfessional pore primer!
-	Minimize the appearance of pores & fine lines
-	Help makeup apply evenly and stay put
","https://www.benefitcosmetics.com/globalassets/pdps/sets--kits/more-for-pores/more-for-pores-component2.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/more-for-pores
